x, y
-10.0, 0.1003617148512149
-9.98, 0.19970998051440703
-9.96, 0.2970415815770349
-9.94, 0.3913736668372024
-9.92, 0.48175367410171527
-9.9, 0.5672689491267565
-9.88, 0.6470559615694443
-9.86, 0.720309024887907
-9.84, 0.7862884321366189
-9.82, 0.8443279255020151
-9.8, 0.8938414241512639
-9.78, 0.9343289424566122
-9.76, 0.9653816388332739
-9.74, 0.986685944207868
-9.72, 0.9980267284282718
-9.7, 0.9992894726405893
-9.68, 0.9904614256966513
-9.66, 0.9716317329146741
-9.64, 0.9429905358928646
-9.62, 0.9048270524660195
-9.6, 0.8575266561936522
-9.58, 0.8015669848708765
-9.56, 0.7375131173581738
-9.54, 0.6660118674342517
-9.52, 0.587785252292473
-9.5, 0.5036232016357609
-9.48, 0.4143755809932841
-9.46, 0.3209436098072095
-9.44, 0.2242707609493812
-9.42, 0.12533323356430423
-9.4, 0.02513009544333744
-9.38, -0.07532680552793278
-9.36, -0.1750230589752761
-9.34, -0.27295193551732533
-9.32, -0.36812455268467803
-9.3, -0.4595798606214879
-9.28, -0.5463943467342691
-9.26, -0.6276913612907006
-9.24, -0.7026499697988493
-9.22, -0.7705132427757894
-9.2, -0.8305958991958128
-9.18, -0.8822912264349535
-9.16, -0.9250772068344582
-9.14, -0.9585217890173761
-9.12, -0.9822872507286888
-9.1, -0.9961336091431726
-9.08, -0.9999210442038162
-9.06, -0.9936113105200085
-9.04, -0.9772681235681935
-9.02, -0.9510565162951535
-9.0, -0.9152411726209175
-8.98, -0.870183747305152
-8.96, -0.8163392192906381
-8.94, -0.7542512929505685
-8.92, -0.6845469039860295
-8.9, -0.6079298829955008
-8.879999999999999, -0.5251738400206758
-8.86, -0.43711434112620917
-8.84, -0.3446404551772753
-8.82, -0.24868575544303678
-8.8, -0.15021886652410688
-8.78, -0.050233652474557924
-8.76, 0.050260852988756766
-8.74, 0.15025066843322105
-8.72, 0.248727128134153
-8.7, 0.3446970711007851
-8.68, 0.43719283421127414
-8.66, 0.5252819218994171
-8.64, 0.6080762185278107
-8.620000000000001, 0.6847406035563463
-8.6, 0.7545008248222111
-8.58, 0.8166504831438703
-8.56, 0.8705569840421447
-8.54, 0.9156663221337858
-8.52, 0.9515065835623179
-8.5, 0.9776900846736407
-8.48, 0.9939141137644725
-8.46, 0.9999603091714167
-8.44, 0.9956927920424394
-8.42, 0.9810552749010898
-8.4, 0.9560674844103425
-8.379999999999999, 0.9208213628198713
-8.36, 0.8754776389130103
